tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,sidewalk,problems,trunk_wire,brch_shoe,address,borough
192888,210568,2015-08-31,32,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,NoDamage,StonesBranchLights,No,No,3778 BEDFORD AVENUE,Brooklyn
192890,210568,2015-08-31,28,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,StonesWiresRope,Yes,No,3782 BEDFORD AVENUE,Brooklyn
197978,310798,2015-09-02,7,0,OnCurb,Alive,Good,Quercus palustris,pin oak,Damage,None,No,No,160-001 59 AVENUE,Queens
187807,506266,2015-08-29,0,0,OnCurb,Dead,,,,,,No,No,300 EAST MOSHOLU PARKWAY SOUTH,Bronx
178601,410841,2015-08-26,10,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,NoDamage,BranchLights,No,No,229 HALES AVENUE,Staten Island
184317,505563,2015-08-29,5,0,OnCurb,Alive,Good,Quercus palustris,pin oak,NoDamage,Stones,No,No,4634 3 AVENUE,Bronx
200225,106629,2015-09-03,8,0,OnCurb,Alive,Good,Quercus palustris,pin oak,NoDamage,None,No,No,565 WEST END AVENUE,Manhattan
208974,414958,2015-09-08,10,0,OnCurb,Alive,Good,Acer rubrum,red maple,NoDamage,None,No,No,227 FINLEY AVENUE,Staten Island
198146,411699,2015-09-02,6,0,OnCurb,Alive,Good,Acer rubrum,red maple,Damage,Stones,No,No,189 NIPPON AVENUE,Staten Island
198121,104405,2015-09-02,8,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,Damage,StonesBranchOther,No,No,100 EAST 31 STREET,Manhattan
195252,102084,2015-09-01,5,0,OnCurb,Alive,Good,Quercus palustris,pin oak,NoDamage,None,No,No,138 WEST 11 STREET,Manhattan
204355,415383,2015-09-05,5,0,OnCurb,Alive,Good,Acer campestre,hedge maple,NoDamage,None,No,No,89 WEST CEDARVIEW AVENUE,Staten Island
205759,301278,2015-09-06,26,0,OnCurb,Alive,Good,Quercus palustris,pin oak,NoDamage,None,No,No,22-048 74 STREET,Queens
201654,224121,2015-09-04,10,0,OnCurb,Alive,Good,Quercus palustris,pin oak,NoDamage,None,No,No,299 COLUMBIA STREET,Brooklyn
198514,108318,2015-09-02,18,0,OnCurb,Alive,Good,Quercus palustris,pin oak,NoDamage,Stones,No,No,1 MORNINGSIDE DRIVE,Manhattan
203334,340820,2015-09-04,11,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,NoDamage,TrunkOther,No,No,35-021 79 STREET,Queens
200628,315984,2015-09-03,25,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,Stones,No,No,147-043 8 AVENUE,Queens
186888,506316,2015-08-29,15,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,NoDamage,None,No,No,249 EAST MOSHOLU PARKWAY NORTH,Bronx
196373,103300,2015-09-02,13,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,54 ALLEN STREET,Manhattan
209441,503960,2015-09-08,5,0,OnCurb,Alive,Poor,Ulmus americana,American elm,NoDamage,Stones,No,No,75 FEATHERBED LANE,Bronx
206435,210654,2015-09-06,26,0,OnCurb,Alive,Good,Acer pseudoplatanus,sycamore maple,Damage,None,No,No,2438 EAST 7 STREET,Brooklyn
196080,310272,2015-09-02,36,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,StonesBranchLights,No,No,84-006 124 STREET,Queens
203759,302373,2015-09-05,16,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,None,No,No,24-015 21 AVENUE,Queens
190359,107635,2015-08-30,13,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,Damage,RootOtherTrunkOtherBranchOther,No,No,1326 3 AVENUE,Manhattan
209909,504038,2015-09-08,2,0,OnCurb,Alive,Good,Ulmus americana,American elm,NoDamage,None,No,No,1840 GRAND CONCOURSE,Bronx
180295,106100,2015-08-27,2,0,OnCurb,Alive,Good,Ulmus americana,American elm,NoDamage,WiresRopeBranchOther,Yes,No,13 WEST 61 STREET,Manhattan
208373,106403,2015-09-07,4,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,390 COLUMBUS AVENUE,Manhattan
196205,206082,2015-09-02,22,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,2348 63 STREET,Brooklyn
192086,203718,2015-08-31,28,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,Stones,No,No,8923 RIDGE BOULEVARD,Brooklyn
203550,348013,2015-09-04,42,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,StonesBranchLights,No,No,90-008 69 AVENUE,Queens
203718,302371,2015-09-05,12,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,20-015 24 STREET,Queens
208832,220174,2015-09-08,3,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,NoDamage,RootOtherBranchOther,No,No,237 WILLOUGHBY AVENUE,Brooklyn
193183,348404,2015-08-31,3,0,OnCurb,Alive,Good,Acer ginnala,Amur maple,NoDamage,None,No,No,75-009 AUSTIN STREET,Queens
203577,348022,2015-09-04,26,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,StonesBranchLights,No,No,89-003 69 AVENUE,Queens
179477,223106,2015-08-27,3,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,NoDamage,None,No,No,290 7 AVENUE,Brooklyn
203386,347979,2015-09-04,26,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,StonesBranchLights,No,No,92-018 70 AVENUE,Queens
189537,223141,2015-08-30,18,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,53 PROSPECT PARK WEST,Brooklyn
196130,206122,2015-09-02,24,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,StonesWiresRope,Yes,No,2327 63 STREET,Brooklyn
200676,229928,2015-09-03,32,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,Stones,No,No,1020 EAST 16 STREET,Brooklyn
206326,301258,2015-09-06,13,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,None,No,No,22-058 77 STREET,Queens
204118,415444,2015-09-05,11,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,125 WEST CEDARVIEW AVENUE,Staten Island
192653,207574,2015-08-31,22,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,2536 OCEAN PARKWAY,Brooklyn
203592,348060,2015-09-04,38,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,StonesBranchLights,No,No,90-013 69 AVENUE,Queens
189338,219520,2015-08-30,18,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,Stones,No,No,88 HALL STREET,Brooklyn
